order,experiment_key,experiment_name,module_step,n_objects,mean_iou_final_vs_osm2025,mean_iou_orig2018_vs_osm2025,mean_delta_vs_2018,improved_objects,keep,update,flag_review,mean_centroid_shift_final_m,mean_abs_area_diff_final_frac,delta_iou_vs_previous_step,delta_iou_vs_first_baseline
0,exp04_tightchip_baseline,Exp04 baseline,tight-chip baseline,8,0.6339792149006542,0.7046523013473396,-0.07067308644668541,0,3,5,0,6.3233793565138825,0.2937199769827844,0.0,0.0
1,exp05_osmref_iterative,Exp05 OSM prior,prior-guided iteration,8,0.6255479298788744,0.7046523013473396,-0.07910437146846502,0,2,6,0,5.750046105564984,0.3078187742839634,-0.00843128502177981,-0.00843128502177981
2,exp07_topology_aware,Exp07 topology-aware,topology-aware prompting,8,0.6630198381670223,0.7046523013473396,-0.04163246318031726,1,3,5,0,4.998525076231415,0.2875006948508759,0.03747190828814784,0.029040623266368026
3,urban_exp08a_topology_refine,Exp08a raw topology pass,specialised topology second pass without final gate,8,0.6440418335203804,0.7046523013473396,-0.06061046782695916,0,3,4,1,6.193269224945702,0.30227822833357154,-0.0189780046466419,0.010062618619726127
4,urban_exp08a_selective_acceptance,Exp08a selective acceptance,topology pass with acceptance gate,8,0.6832347130397328,0.7046523013473396,-0.021417588307606712,1,3,5,0,5.507082684363973,0.2616006940541253,0.039192879519352464,0.04925549813907859
5,urban_exp08b_shadow_refine,Exp08b shadow refine,shadow refinement added to selective acceptance,8,0.6843836015169291,0.7046523013473396,-0.02026869983041045,1,3,5,0,5.593854396587306,0.26242063131510374,0.001148888477196297,0.05040438661627489
