id,inside_mean,inside_std,ring_mean,dark_frac,mean_drop_to_ring,edge_density,compactness,hull_gap_frac,uncertainty_level,primary_error_type,manual_route,auto_route,route_match
2,91.92520930232558,46.439695531734735,55.25096401028278,0.5271937984496124,-36.674245292042805,0.11813953488372093,0.7023230758828977,0.0,low,stable_case,no_refine,no_refine,True
4,76.7694323702378,54.920338943510956,109.69953295277634,0.7018665302991562,32.93010058253854,0.0411020199437484,0.7143858364447062,0.055362687875315925,low,shadow_roof,shadow_refine,shadow_refine,True
12,125.84393757503001,36.47235319088442,113.59106648199446,0.46866746698679473,-12.252871093035552,0.17346938775510207,0.7679171083241633,0.0,medium,stable_case,review_keep,topology_refine,False
16,129.49599782933117,45.05714521078368,87.32601351351352,0.25491792158458826,-42.16998431581766,0.08838692172025504,0.6526791820348646,0.0015066959877800914,low,shadow_roof,shadow_refine,no_refine,False
21,86.18416952321596,56.06028569147725,86.62932180851064,0.5602991586163913,0.4451522852946823,0.07520515217617119,0.4042830589172657,0.29458222434086484,high,multi_level_roof,topology_refine,topology_refine,True
27,130.83541092912017,43.11237470887128,118.55973325766175,0.27561965502246705,-12.275677671458425,0.17205392085809537,0.4312171590732008,0.3848663175418449,low,multi_part_roof,topology_refine,topology_refine,True
32,134.70650161962055,50.49243898410673,82.12665198237886,0.32687413234613605,-52.57984963724169,0.1713905599259602,0.16370947253585502,0.5130635439783662,medium,courtyard_structure,topology_refine,topology_refine,True
34,78.95128084236995,43.088925401200925,55.292143765903305,0.6397401644926397,-23.65913707646665,0.14332861857614332,0.7811956419006338,0.0,low,stable_case,no_refine,no_refine,True
