id,decision,final_source,iou_map_vs_sam,sam_score,area_diff_frac,centroid_shift_m,orig_wkt,geometry
3,keep,osm,0.9382531676749579,0.9765625,-0.014952891554293767,0.40860746307298146,"POLYGON ((388872.13697503007 5831013.548414279, 388861.20051728655 5831009.168204014, 388873.5920861582 5830978.105904085, 388884.52809319826 5830982.463898173, 388872.13697503007 5831013.548414279))","POLYGON ((388872.13697503007 5831013.548414279, 388861.20051728655 5831009.168204014, 388873.5920861582 5830978.105904085, 388884.52809319826 5830982.463898173, 388872.13697503007 5831013.548414279))"
4,keep,osm,0.45301391885540065,0.76953125,-0.08548016073727113,0.9559648762860508,"POLYGON ((388482.9988164372 5830877.882765327, 388485.6954587817 5830879.701789216, 388488.9790352125 5830874.897339487, 388486.282137476 5830873.067191528, 388482.9988164372 5830877.882765327))","POLYGON ((388482.9988164372 5830877.882765327, 388485.6954587817 5830879.701789216, 388488.9790352125 5830874.897339487, 388486.282137476 5830873.067191528, 388482.9988164372 5830877.882765327))"
5,keep,osm,0.8576722540826487,0.94140625,-0.008011669246705495,0.32625132111756405,"POLYGON ((388876.04571908363 5830969.559351213, 388870.4342741396 5830967.32798629, 388880.0315153834 5830943.22871579, 388878.94477740146 5830942.797210965, 388879.4291934982 5830941.762403006, 388880.46101569803 5830942.16177425, 388881.72319942556 5830938.994933185, 388887.3281542162 5830941.237587742, 388876.04571908363 5830969.559351213))","POLYGON ((388876.04571908363 5830969.559351213, 388870.4342741396 5830967.32798629, 388880.0315153834 5830943.22871579, 388878.94477740146 5830942.797210965, 388879.4291934982 5830941.762403006, 388880.46101569803 5830942.16177425, 388881.72319942556 5830938.994933185, 388887.3281542162 5830941.237587742, 388876.04571908363 5830969.559351213))"
6,flag_review,osm_review,0.4971297683436903,0.91796875,-0.38945022606553864,0.6329482409301933,"POLYGON ((388569.62956513086 5830941.158903435, 388575.53715263214 5830938.553594359, 388572.3375578606 5830931.315518773, 388566.4297089889 5830933.909709353, 388569.62956513086 5830941.158903435))","POLYGON ((388569.62956513086 5830941.158903435, 388575.53715263214 5830938.553594359, 388572.3375578606 5830931.315518773, 388566.4297089889 5830933.909709353, 388569.62956513086 5830941.158903435))"
8,keep,osm,0.651359226979452,0.9609375,-0.11290623086298758,1.1513327138849017,"POLYGON ((388615.6625565687 5830969.196776061, 388615.70571202645 5830969.307071565, 388613.62798407633 5830970.266992633, 388611.11743123044 5830964.726886615, 388611.49271553155 5830964.551400327, 388617.4431118681 5830961.74485971, 388620.3378399423 5830960.376812874, 388622.7706197862 5830965.774033639, 388622.81402893824 5830965.895451453, 388615.6625565687 5830969.196776061))","POLYGON ((388615.6625565687 5830969.196776061, 388615.70571202645 5830969.307071565, 388613.62798407633 5830970.266992633, 388611.11743123044 5830964.726886615, 388611.49271553155 5830964.551400327, 388617.4431118681 5830961.74485971, 388620.3378399423 5830960.376812874, 388622.7706197862 5830965.774033639, 388622.81402893824 5830965.895451453, 388615.6625565687 5830969.196776061))"
9,keep,osm,0.8287285159140951,0.92578125,-0.0001710245012221179,0.995925564855082,"POLYGON ((388741.44108584675 5830979.158325173, 388743.8319706964 5830973.217088308, 388760.5318299924 5830979.947220508, 388777.26548911724 5830986.676637904, 388782.8298259791 5830988.920098206, 388783.9330888203 5830986.213099935, 388789.6952581113 5830988.518827735, 388786.14538793813 5830997.101539767, 388741.44108584675 5830979.158325173))","POLYGON ((388741.44108584675 5830979.158325173, 388743.8319706964 5830973.217088308, 388760.5318299924 5830979.947220508, 388777.26548911724 5830986.676637904, 388782.8298259791 5830988.920098206, 388783.9330888203 5830986.213099935, 388789.6952581113 5830988.518827735, 388786.14538793813 5830997.101539767, 388741.44108584675 5830979.158325173))"
10,keep,osm,0.35226551771826237,0.53515625,-0.5616298591780078,0.5099337944997561,"POLYGON ((388962.3084845238 5831367.303290905, 388962.7501032483 5831365.579525921, 388965.32217611163 5831366.110783729, 388964.80609823985 5831367.836242757, 388962.3084845238 5831367.303290905))","POLYGON ((388962.3084845238 5831367.303290905, 388962.7501032483 5831365.579525921, 388965.32217611163 5831366.110783729, 388964.80609823985 5831367.836242757, 388962.3084845238 5831367.303290905))"
11,flag_review,osm_review,0.7911963706656587,0.96875,-0.19946488384693112,0.19113406883668171,"POLYGON ((388783.18117956584 5830859.893698244, 388785.0347868653 5830857.714876322, 388789.34395077184 5830861.344571244, 388787.4903430826 5830863.523391534, 388783.18117956584 5830859.893698244))","POLYGON ((388783.18117956584 5830859.893698244, 388785.0347868653 5830857.714876322, 388789.34395077184 5830861.344571244, 388787.4903430826 5830863.523391534, 388783.18117956584 5830859.893698244))"
14,keep,osm,0.9065659243751134,0.94921875,0.08455693335743737,0.6606143828817731,"POLYGON ((388525.99054427334 5831024.77016128, 388541.1267625063 5831033.0152969025, 388529.21577842627 5831054.775621173, 388514.0798580762 5831046.54164511, 388525.99054427334 5831024.77016128))","POLYGON ((388525.99054427334 5831024.77016128, 388541.1267625063 5831033.0152969025, 388529.21577842627 5831054.775621173, 388514.0798580762 5831046.54164511, 388525.99054427334 5831024.77016128))"
16,flag_review,osm_review,0.6645563343438847,0.91015625,-0.0010518617587464347,1.3611336594399503,"POLYGON ((388755.30028726696 5830858.592858569, 388758.2884040544 5830853.294573353, 388764.178827019 5830856.46533973, 388764.4222060825 5830856.148207721, 388767.4268579568 5830857.815699122, 388764.5371333521 5830863.5679852525, 388764.4712114508 5830863.647383977, 388755.30028726696 5830858.592858569))","POLYGON ((388755.30028726696 5830858.592858569, 388758.2884040544 5830853.294573353, 388764.178827019 5830856.46533973, 388764.4222060825 5830856.148207721, 388767.4268579568 5830857.815699122, 388764.5371333521 5830863.5679852525, 388764.4712114508 5830863.647383977, 388755.30028726696 5830858.592858569))"
17,flag_review,osm_review,0.464205627415407,0.96484375,-0.14863514506339157,1.595367834399287,"POLYGON ((388526.93630812335 5831154.234609, 388524.9362412108 5831157.99706783, 388532.4325730526 5831162.099005301, 388534.51387458784 5831158.334694142, 388533.5326632573 5831157.778447628, 388534.1373054213 5831156.674087154, 388529.8310932361 5831154.357661295, 388529.20665211 5831155.484730691, 388526.93630812335 5831154.234609))","POLYGON ((388526.93630812335 5831154.234609, 388524.9362412108 5831157.99706783, 388532.4325730526 5831162.099005301, 388534.51387458784 5831158.334694142, 388533.5326632573 5831157.778447628, 388534.1373054213 5831156.674087154, 388529.8310932361 5831154.357661295, 388529.20665211 5831155.484730691, 388526.93630812335 5831154.234609))"
18,keep,osm,0.7803960401769573,0.95703125,0.12025003372078749,0.7204795178321317,"POLYGON ((388608.01140708075 5831195.103870644, 388617.14634642727 5831201.271731515, 388620.4290525216 5831196.4340001065, 388611.294108858 5831190.26613307, 388608.01140708075 5831195.103870644))","POLYGON ((388608.01140708075 5831195.103870644, 388617.14634642727 5831201.271731515, 388620.4290525216 5831196.4340001065, 388611.294108858 5831190.26613307, 388608.01140708075 5831195.103870644))"
19,keep,osm,0.5906046903219758,0.8359375,-0.03564610903109359,0.7528465931855546,"POLYGON ((388490.1689257903 5830851.679287643, 388487.0174596023 5830847.444737304, 388491.41259931837 5830844.451021321, 388494.62127006386 5830848.817804074, 388491.77153616835 5830850.6745303655, 388490.1689257903 5830851.679287643))","POLYGON ((388490.1689257903 5830851.679287643, 388487.0174596023 5830847.444737304, 388491.41259931837 5830844.451021321, 388494.62127006386 5830848.817804074, 388491.77153616835 5830850.6745303655, 388490.1689257903 5830851.679287643))"
