id,iou_exp04,delta_exp04,improved_exp04,iou_exp08b,delta_exp08b,improved_exp08b,iou_exp09,delta_exp09,improved_exp09,delta_exp09_vs_exp04,delta_exp09_vs_exp08b
21,0.1026989058486611,-0.0253309152608215,False,0.3489581728924383,0.2209283517829557,True,0.2189594202549368,0.0909295991454542,True,0.1162605144062757,-0.1299987526375015
27,0.8357287485940498,-0.0147776449721228,False,0.7902682814892467,-0.0602381120769259,False,0.7143213541138065,-0.1361850394523661,False,-0.12140739448024329,-0.07594692737544018
32,0.5435918746487658,-0.290836827342758,False,0.676939720112822,-0.1574889818787018,False,0.589497904617897,-0.2449307973736268,False,0.04590602996913118,-0.08744181549492502
